,Acronym,Meaning
4147,s/b,should be
4148,s2a,sent to all
4149,s2bu,Sucks to be you
4150,s2g,swear to god
4151,s2r,send to receive
4152,s2u,same to you
4153,s2us,Speak to you soon
4154,s3x,Sex.
4155,s4se,Sight For Sore Eyes
4156,s8ter,skater
4157,sab,slap a b***h
4158,safm,stay away from me
4159,sagn,Spelling and Grammar Nazi
4160,sah,sexy as hell
4161,sahm,stay at home mom
4162,sase,self addressed stamped envelope
4163,sbc,sorry bout caps
4164,sbcg4ap,strongbads cool game for attractive people
4165,sbd,silent but deadly
4166,sblai,stop babbaling like an idiot
4167,sbrd,so bored
4168,sbs,such bull s**t
4169,sbt,sorry bout that
4170,Schl,School
4171,scnr,"sorry, I couldn't resist"
4172,scool,school
4173,scrilla,money
4174,scrt,secret
4175,scurred,scared
4176,sd,suck d**k
4177,sde,software defined environment
4178,sdf^,shut da f**k up
4179,sdk,Software Development Kit
4180,sdlc,Software Development Life Cycle
4181,sec,second
4182,secks,sex
4183,secksea,Sexy
4184,secksy,sexy
4185,sed,said
4186,see through your eyes,stye
4187,seg,s**t Eatin Grin
4188,seks,sex
4189,sellin,selling
4190,seo,Search Engine Optimization
4191,serp,search engine results page
4192,sexc,sexy
4193,sexe,sexy
4194,sexi,Sexy
4195,sexii,sexy
4196,sexilicious,Very Sexy
4197,sexx0rz,sex
4198,sez,says
4199,sfam,Sister from another mother
4200,sfao,sorry for any offense
4201,sfe,safe
4202,sfh,So f**king Hot
4203,sfipmp,so funny I peed my pants
4204,sfm,so f**king much
4205,sfr,so f**king random
4206,sfs,so f**king stupid
4207,sfsg,So far so good
4208,sftbc,Sorry for the broad cast
4209,sfu,shut the f**k up
4210,sfw,safe for work
4211,sfwuz,safe for work until zoomed
4212,sfy,speak for yourself
4213,sfyl,sorry for your loss
4214,sg,so good
4215,sgb,straight/gay/bisexual
4216,sgbadq,Search google before asking dumb questions
4217,sgi,Still got it
4218,sgtm,sounds good to me
4219,sh,s**t happens
4220,shag,f**k
4221,shawty,girl
4222,shd,should
4223,shexi,sexy
4224,shexy,sexy
4225,shiat,s**t
4226,shiet,s**t
4227,shite,s**t
4228,shiz,s**t
4229,shizit,s**t
4230,shiznat,s**t
4231,shiznit,s**t
4232,shizz,s**t
4233,shizzle,s**t
4234,shld,should
4235,shmexy,sexy
4236,shmily,see how much i love you
4237,sho,sure
4238,sho'nuff,sure enough
4239,showin,showing
4240,shr,s**t happens right
4241,shrn,so hot right now
4242,sht,s**t
4243,shtf,s**t hits the fan
4244,shud,should
4245,shuddup,Shut Up
4246,shup,shut up
4247,shure,sure
4248,shut^,shut Up
4249,shwr,shower
4250,shyat,s**t
4251,shyt,s**t
4252,siao,school is almost over
4253,sibir,sibling in room
4254,sic,said in context
4255,sicl,sitting in chair laughing
4256,sif,as if
4257,sifn't,as if not
4258,sig,Signature
4259,siggy,Signature
4260,silf,Sister I'd Like To f**k
4261,simcl,sitting in my chair laughing
4262,simclmao,sitting in my chair laughing my ass off
4263,siol,Shout It Out Loud
4264,sis,sister
4265,sista,Sister
4266,sitb,sex in the but
4267,sitd,Still in the dark
4268,sitmf,say it to my face
4269,siu,suck it up
4270,siuya, shove it up your ass
4271,sk,spawn kill
4272,sk8,skate
4273,sk8er,skater
4274,sk8ing,Skating
4275,sk8r,skater
4276,sk8ter,skater
4277,sk8tr,skater
4278,skb,should know better
4279,sked,schedule
4280,skeet,ejaculate
4281,skewl,school
4282,skhool,school
4283,skillz,skills
4284,skl,School
4285,skool,school
4286,skoul,school
4287,sktr,skater
4288,skwl,school
4289,sl4n,so long for now
4290,sleepin,sleeping
4291,sleepn,sleeping
4292,slf,sexy little f**k
4293,slgb,Straight/Lesbian/Gay/Bisexual
4294,slng,slang
4295,slo,slow
4296,slore,s**tty w***e
4297,slos,someone looking over shoulder
4298,slp,sleep
4299,slt,something like that
4300,sl^t,s**t 
4301,sm,social media
4302,sm1,someone
4303,smb,see my blog
4304,smbd,suck my big d**k 
4305,smbt,Suck my big toe
4306,smc,suck my c**k
4307,smd,suck my d**k
4308,smdb,suck my d**k b***h
4309,smdvq,suck my d**k quickly
4310,smeg,f**k
4311,smexy,sexy
4312,smf,stupid motherf**ker
4313,smfd,suck my f**king d**k
4314,smfpos,stupid mother f**king piece of s**t
4315,smh,shaking my head
4316,smhb,suck my hairy balls
4317,smhid,shaking my head in disgust
4318,smho,Screaming My Head Off
4319,smithwaws,Smack me in the head with a wooden spoon
4320,smofo,stupid mother f**ker
4321,smst,somebody missed snack time
4322,smt,suck my tits
4323,smthin,something
4324,Smthn,Something 
4325,smthng,something
4326,smtm,sometime
4327,smto,Sticking My Tongue Out
4328,smtoay,Sticking my tongue out at you
4329,sn,screen name
4330,snafu,situation normal all f**ked up
4331,snafubar,Situation Normal All f**ked Up Beyond Any Recognition
4332,snes,Super Nintendo Entertainment System
4333,snew,what's new
4334,snf,so not fair
4335,snl,Saturday Night Live
4336,snm,say no more
4337,snog,kiss
4338,snogged,kissed
4339,soa,service oriented architecture 
4340,soab,son of a btch
4341,soad,system of a down
4342,soafb,son of a f**king b***h
4343,sob,son of a b***h
4344,sobs,"same, old, boring s**t"
4345,soc,Same old crap
4346,soe,service oriented enterprise
4347,sof,smile on face
4348,sofas,stepping out for a smoke
4349,sofs,same old f**king s**t
4350,soi,service oriented infrastructure
4351,sok,It's ok
4352,sokay,it's okay
4353,sol,s**t outta luck
4354,som'm,something
4355,som1,someone
4356,somadn,sitting on my ass doing nothing
4357,some1,someone
4358,soml,story of my life
4359,soo,So
4360,soobs,saggy boobs
4361,sool,s**t out of luck
4362,sop,same old place
4363,sorg,Straight or Gay
4364,sorreh,sorry
4365,sorta,sort of
4366,sos,same old s**t
4367,sosdd,"same old s**t, different day"
4368,sosg,spouse over shoulder gone
4369,sot,suck on this
4370,sotc,stupid off topic crap
4371,sotr,sex on the road
4372,sow,statement of work
4373,sowi,sorry
4374,sowwy,sorry
4375,soz,sorry
4376,spk,speak
4377,spk2ul8r,Speak to you later
4378,sploits,exploits
4379,sploitz,exploits
4380,spos,stupid peace of s**t
4381,sprm,sperm
4382,sqtm,snickering quietly to myself
4383,srch,search
4384,srly,seriously
4385,sroucks,"that's cool, but it still sucks"
4386,srry,sorry
4387,srs,serious
4388,srsly,seriously
4389,srvis,Service
4390,sry,sorry
4391,srynd2g,sorry need to go
4392,srzly,seriously
4393,ss,screenshot
4394,ss4l,smoking sista for life
4395,ssdd,"same s**t, different day"
4396,ssdp,same s**t different pile
4397,ssia,subject says it all
4398,ssl,secure sockets layer
4399,ssob,stupid sons of b***hes
4400,ssry,so sorry
4401,sssd,Same s**t Same Day
4402,st,Stop That
4403,st1,stoned
4404,st8,state
4405,stb,soon to be
4406,stbm,sucks to be me
4407,stbx,soon to be ex
4408,stby,sucks to be you
4409,std,sexually transmitted disease
4410,steamloller,Laughing. Alot.
4411,stfd,sit the f**k down
4412,stff,stuff
4413,stfm,search the f**king manual
4414,stfng,search the f**king news group
4415,stfu,shut the f**k up
4416,stfua,shut the f**k up already
4417,stfuah,shut the f**k up a**h**e
4418,stfub,shut the f**k up b***h
4419,stfuda,Shut the f**k up dumb ass
4420,stfugbtw,shut the f**k up and get back to work
4421,stfun,Shut the f**k up n****r
4422,stfuogtfo,Shut the f**k up or get the f**k out.
4423,stfuppercut,shut the f**k up
4424,stfuyb,shut the f**k up you b***h
4425,stfuysoab,shut the f**k up you son of a b***h
4426,stfw,search the f**king web
4427,stg,swear to god
4428,sth,something
4429,sthing,something
4430,sthu,shut the hell up
4431,stm,smiling to myself
4432,stoopid,stupid
4433,stpd,stupid
4434,str8,straight
4435,str8up,straight up
4436,sts,so to speak
4437,stsp,Same Time Same Place
4438,stt,Same time tomorrow
4439,stufu,stupid f**ker
4440,stupd,stupid
4441,stw,share the wealth 
4442,stys,speak to you soon
4443,su,shut up
4444,sua,see you at
4445,suabq,shut up and be quiet
4446,suagooml,shut up and get out of my life
4447,suagtw,shut up and get to work
4448,Suiab,See you in a bit
4449,suib,shut up im busy
4450,suk,suck
4451,suka,Sucker
4452,sukz,sucks
4453,sul,see you later
4454,sum1,someone
4455,sumfin,Something
4456,summin,something
4457,sumone,someone
4458,sumthin',Something
4459,sumtin,something
4460,sup,what's up
4461,supa,super
4462,supposably,Supposedly
4463,sus,see you soon
4464,susfu,"situation unchanged, still f**ked up"
4465,sut,see you tomorrow
4466,sutuct,so you think you can type
4467,sux,sucks
4468,sux0rz,sucks
4469,sux2bu,sucks to be you
4470,suxor,Sucks
4471,suxors,sucks
4472,suxorz,sucks
4473,suxx,sucks
4474,suxxor,sucks
4475,suyah,shut up you ass hole!
4476,svn,seven
4477,svu,special victims unit
4478,sw,so what
4479,swafk,sealed with a friendly kiss
4480,swak,sealed with a kiss
4481,swakaah,Sealed With A Kiss And A Hug
4482,swalk,sealed with a loving kiss
4483,swf,single white female
4484,swm,single white male
4485,swmbo,she who must be obeyed
4486,swmt,Stop Wasting My Time 
4487,swp,sorry wrong person
4488,swsw2b,single when she wants to be
4489,swt,sweet
4490,swtf,"seriously, what the f**k"
4491,sx,sex
4492,sxc,sexy
4493,sxcy,sexy
4494,sxe,straight edge
4495,sxi,sexy
4496,sxs,sex
4497,sxy,sexy
4498,sya,See you again.
4499,syatp,see you at the party
4500,sydim,stick your d**k in me
4501,sydlm,Shut your dirty little mouth
4502,sydm,shut your damn mouth
4503,syfm,shut your f**king mouth
4504,syiab,see you in a bit
4505,syiaf,see you in a few
4506,syl,see you later
4507,syl8r,see you later
4508,sym,shut your mouth
4509,syoa,Save Your Own Ass
4510,syotbf,see you on the battlefield
4511,syrs,see ya real soon
4512,sys,see you soon
4513,sysop,system operator
4514,syt,see you there
4515,sytycd,so you think you can dance 
4516,syu,sex you up
4517,sz,sorry
4518,Tsm ,Thanks so much
4519,dtg,Days To Go
4520,t#3,the
4521,"t,ftfy","there, fixed that for you"
4522,t.t.y.l,Talk To You Later
4523,t/a,Try again
4524,t2b,time to blunt
4525,t2m,talk to me
4526,t2u,talking to you
4527,t2ul,talk to you later
4528,t2ul8r,talk to you later
4529,t3h,the
4530,t4a,thanks for asking
4531,t4m,Transgender for Male
4532,t8st,taste
4533,ta,thanks again
4534,taci,that's a crappy idea
4535,tafn,That's all for now
4536,taht,that
4537,tai,think about it
4538,taig,That's all I got. 
4539,tal,thanks a lot
4540,talkin,talking
4541,tanq,thank you
4542,tanstaafl,there ain't no such thing as a free lunch
4543,tard,retard
4544,tarfu,things are really f**ked up
4545,tat,that
4546,tat2,tattoo
4547,tau,thinking about you
4548,taunch,te amo un chingo
4549,taw,Teachers are Watching
4550,tay,thinking about you
4551,tb,text back
4552,tb4u,too bad for you
4553,tba,to be anounced
4554,tbc,To be continued
4555,tbd,to be decided
4556,tbf,to be fair
4557,tbfh,to be f**king honest
4558,tbfu,too bad for you
4559,tbh,to be honest
4560,tbhimo,to be honest in my opinion
4561,tbhwu,To be honest with you
4562,tbnt,thanks but no thanks
4563,tbp,The Pirate Bay
4564,tbpfh,To be perfectly f**king honest
4565,tbph,To be perfectly honest
4566,tbqf,to be quite frank
4567,tbqh,to be quite honest
4568,tbss,too bad so sad
4569,tbt,throwback thursday
4570,tbtfh,to be totally freaking honest
4571,tbvh,to be very honest
4572,tbya,think before you act
4573,tc,take care
4574,tcfc,Too Close For Comfort
4575,tcfm,too cool for me
4576,tcg,Trading Card Game
4577,tchbo,Topic creater has been owned
4578,tcial,The cake is a lie
4579,tcoy,take care of yourself
4580,tcp,transmission control protocol
4581,tcp/ip,transmission control protocol/internet protocol
4582,td2m,talk dirty to me
4583,tddup,till death do us part
4584,tdf,To Die For
4585,tdl,Too Damn Lazy
4586,tdtm,Talk Dirty To Me
4587,tdtml,talk dirty to me later
4588,tdwdtg,The Devil Went Down To Georgia
4589,te,Team effort
4590,teh,the
4591,teotwawki,the end of the world as we know it
4592,terd,s**t
4593,tf2,Team Fortress 2
4594,tfa,the f**king article
4595,tfb,time for bed
4596,tfbundy,totaly f**ked but unfortunatly not dead yet
4597,tfc,Team Fortress Classic
4598,tfd,total f**king disaster
4599,tff,That's f**king Funny
4600,tfft,thank f**k for that
4601,tffw,Too funny for words
4602,tfh,Thread from hell
4603,tfic,Tongue Firmly In Cheek
4604,tfiik,the f**k if i know
4605,tfl,Thanks For Looking
4606,tfln,thanx for last night
4607,tfm,too f**king much
4608,tfs,thanks for sharing
4609,tfta,thanks for the add
4610,tfti,thanks for the information
4611,tfu,that's f**ked up
4612,tfu2baw,time for you to buy a watch
4613,tfw,that feeling when
4614,tg,thank god
4615,tgfe,together forever
4616,tgfitw,The Greatest Fans In The World
4617,tgft,thank god for that
4618,tgfu,too good for you
4619,tgfuap,thank god for unanswered prayers
4620,tghig,thank god husband is gone
4621,tgif,thank god it's friday
4622,tgiff,thank god its f**king Friday
4623,tgis,thank god it's saturday
4624,tgiwjo,Thank God It Was Just Once
4625,tgsttttptct,thank God someone took the time to put this crap together
4626,tgtbt,Too Good To Be True
4627,tgwig,thank god wife is gone
4628,tgws,that goes without saying
4629,th4nk5,Thanks
4630,[email protected],that
4631,tha,the
4632,thankies,Thank You
4633,thankx,thank you
4634,thanq,thank you
4635,thanx,thank you
4636,thar,there
4637,thatz,that's
4638,thku,thank you
4639,thn,then
4640,thnk,think
4641,thnx,thanks
4642,tho,though
4643,thot,the hoe of today
4644,thr,there
4645,thr4,therefore
4646,thru,through
4647,tht,that
4648,thwdi,thats how we do it
4649,thwy,the hell with you!
4650,thx,thank you
4651,thxx,thanks
4652,thz,thank you
4653,ti2o,that is too obious
4654,tia,thanks in advance
4655,tiafayh,Thanks in advance for all your help
4656,tiai,take it all in
4657,tias,Try It And See
4658,tiatwtcc,this is a trap word to catch copiers
4659,tif,this is fun
4660,tif2m,this is f**king 2 much
4661,tifs,this is funny s**t
4662,tifu,that is f**ked up
4663,tigger,tiger
4664,tiic,the idiots in control
4665,til,until
4666,tilf,Teenager I'd Like To f**k
4667,tinf,this is not fair
4668,tinla,this is not legal advice
4669,tinstaafl,There Is No Such Thing As A Free Lunch
4670,tioli,take it or leave it
4671,tis,is
4672,tisc,that is so cool
4673,tisfu,that is so f**ked up
4674,tisg,this is so gay
4675,tisly,that is so last year
4676,tisnf,that is so not fair
4677,tiss,This is some s**t
4678,tisw,that is so wrong
4679,tiw,teacher is watching
4680,tix,tickets
4681,tjb,thats just boring
4682,tk,team kill
4683,tk2ul,talk to you later
4684,tkd,Tae Kwon Do
4685,tker,team killer
4686,tks,thanks
4687,tku,thank you
4688,tl,Tough Luck
4689,"tl,dr",Too long; didn't read
4690,tl8r,talk later
4691,tl:dr,Too Long; Didn't Read
4692,tl; dr,To Long; Didn't read
4693,tl;dr,too long; didn't read
4694,tla,Three Letter Acronym
4695,tlc,tender loving care
4696,tld,told
4697,tldnr,"too long, did not read"
4698,tldr,"Too long, didn't read."
4699,tlgo,The list goes on
4700,tliwwv,this link is worthless without video
4701,tlk,talk
4702,tlk2me,talk to me
4703,tlk2ul8r,talk to you later
4704,tlkin,talking
4705,tlkn,talking
4706,tltpr,Too long to proof read.
4707,tlyk,to let you know
4708,tma,take my advice
4709,tmaai,tell me all about it
4710,tmai,tell me about it
4711,tmbi,tell me about it
4712,tmi,too much information
4713,tmk,to my knowledge
4714,tml,tell me later
4715,tmmrw,tomorrow
4716,tmnt,teenage mutant ninja turtles
4717,tmo,take me out
4718,tmoro,tomorrow
4719,tmoz,tomorrow
4720,tmp,Text my phone
4721,tmr,tomorrow
4722,[email protected],the monkeys are at it again
4723,tmrrw,tomorrow
4724,tmrw,Tomorrow
4725,tmrz,tomorrow
4726,tms,that makes sense
4727,tmsaisti,That's my story and I'm sticking to it.
4728,tmsg,tell me something good
4729,tmsidk,tell me somthing I don't know
4730,tmth,too much to handle
4731,tmtmo,text me tomorrow
4732,tmtoyh,Too Much Time On Your Hands
4733,tmtt,tell me the truth
4734,tmw,Too much work
4735,tmwfi,Take my word for it
4736,tmz,tomorrow
4737,tn1,trust no-one
4738,tna,tits and ass
4739,tnc,totally not cool
4740,tnf,That's Not Funny
4741,tnlnsl,Took nothing left nothing signed log
4742,tnmp,Totally not my problem
4743,tnomb,that's none of my business
4744,tnx,thanks
4745,tnxz,thanks
4746,tob,teacher over back
4747,tofy,Thinking of You
4748,togtfooh,tits or get the f**k out of here
4749,toh,typing one handed
4750,tok,That's ok
4751,tok2ul8r,i'll talk to you later
4752,tolol,thinking of laughing out loud
4753,tomm,tommorow
4754,tomoro,tommorrow
4755,tomorrow,2moro
4756,tomoz,tomorrow
4757,tonite,tonight
4758,tos,terms of service
4759,totd,tip of the day
4760,totes,totally
4761,totl,total
4762,totm,top of the morning
4763,totp,talking on the phone
4764,totpd,top of the page dance
4765,tou,thinking of you
4766,toya,thinking of you always
4767,tp,toilet paper
4768,tpb,the pirate bay
4769,tpf,that's pretty funny 
4770,tpiwwp,this post is worthless without pictures
4771,tps,test procedure specification
4772,tptb,the powers that be
4773,tq,Thank You
4774,trani,transexual
4775,tranny,Transexual
4776,trble,trouble
4777,trd,tired
4778,trnsl8,translate
4779,trnsltr,translator
4780,troll,person who diliberately stirs up trouble
4781,tru,true
4782,ts,talking s**t
4783,tsc,that's so cool
4784,tsff,thats so f**kin funny
4785,tsig,that site is gay
4786,tsl,The single life
4787,tsnf,that's so not fair
4788,tss,That's so sweet
4789,tstoac,too stupid to own a computer
4790,tswc,tell someone who cares
4791,tt4n,ta ta for now
4792,ttbc,Try to be cool
4793,ttbomk,to the best o fmy knowledge
4794,ttc,text the cell
4795,ttf,that\'s too funny
4796,ttfaf,Through the Fire and Flames
4797,ttfn,ta ta for now
4798,ttg,Time to go
4799,tthb,try to hurry back
4800,ttihlic,try to imagine how little i care
4801,ttiuwiop,this thread is useless without pics
4802,ttiuwop,this thread is useless without pics
4803,ttiuwp,This Thread Is Useless Without Pictures
4804,ttiwwop,This thread is worthless without pics
4805,ttiwwp,this thread is worthless without pics
4806,ttl,total
4807,ttlly,totally
4808,ttly,totally
4809,ttm,talk to me
4810,ttml,talk to me later
4811,ttmn,Talk to me now
4812,ttms,talking to myself
4813,ttr,time to run
4814,ttrf,"That's the rules, f**ker"
4815,tts,text to speech
4816,ttt,to the top
4817,ttth,Talk To The Hand
4818,tttt,to tell the truth
4819,ttul,Talk To You Later
4820,ttul8r,Talk to you later
4821,ttus,talk to you soon
4822,ttut,Talk to you Tomorrow
4823,ttutt,to tell you the truth
4824,tty,Talk to You
4825,ttya,Thanks to you all
4826,ttyab,Talk to you after breakfast
4827,ttyad,Talk to you after Dinner
4828,ttyal,Talk to you after lunch
4829,ttyas,talk to you at school
4830,ttyiam,talk to you in a minute
4831,ttyitm,talk to you in the morning
4832,ttyl,talk to you later
4833,ttyl2,Talk to you later too
4834,ttyl8r,talk to you later
4835,ttylo,talk to you later on
4836,ttylt,talk to you later today
4837,ttyn,talk to you never
4838,ttyna,talk to you never again
4839,ttynl,talk to you never loser
4840,ttynw,talk to you next week
4841,ttyo,talk to you online
4842,ttyob,tend to your own business
4843,ttyotp,talk to you on the phone
4844,ttyrs,talk to you really soon
4845,ttys,talk to you soon
4846,ttyt,talk to you tomorrow
4847,ttytm,talk to you tomorrow
4848,ttytt,to tell you the truth
4849,ttyw,talk to you whenever
4850,ttywl,Talk to you way later
4851,tu,thank you
4852,tuff,tough
4853,tuh,to
4854,tul,text you later
4855,tut,take your time
4856,tuvm,thank you very much
4857,tv,television
4858,tvm,thanks very much
4859,tw,Teacher Watching
4860,twajs,"That was a joke, son."
4861,twat,vagina
4862,twbc,that would be cool
4863,twdah,that was dumb as hell
4864,twf,That was funny
4865,twfaf,thats what friends are for
4866,twg,That was great
4867,twi,Texting While Intoxicated
4868,twis,that's what I said
4869,twoh,typing with one hand
4870,tws2wa,That was so 2 weeks ago
4871,twss,That's what she said
4872,twsy,That was so yeterday
4873,twttr,twitter
4874,twvsoy,that was very stupid of you
4875,twyl,Talk With You Later
4876,twys,Talk With You Soon
4877,tx,thanks
4878,txs,thanks
4879,txt,text
4880,txting,texting
4881,txtyl,text you later
4882,ty,thank you
4883,tyclos,"turn your CAPS LOCK off, stupid"
4884,tyfi,Thank You for invite
4885,tyfn,thank you for nothing
4886,tyfyc,Thank You For Your Comment
4887,tyfyt,Thank you for your time
4888,tyl,text you later
4889,tym,time
4890,tyme,time
4891,typ,thank you partner
4892,typo,typing mistake
4893,tyred,tired
4894,tys,Told You So
4895,tysfm,thank you so f**king much
4896,tysm,thank you so much
4897,tysvm,thank you so very much
4898,tyt,take your time
4899,tyto,take your top off
4900,tyty,thank you thank you
4901,tyvm,Thank You Very Much
4902,tyvvm,thank you very very much
4903,wt,what
4904,Muh,My
4905,u,you
4906,u iz a 304,you is a hoe
4907,u'd,you would
4908,u'll,you will
4909,u'r,you're
4910,u'v,you have
4911,u've,You've
4912,u/l,upload
4913,u/n,username
4914,u2,You too
4915,u2c,unable to contact
4916,u2u,up to you
4917,u4i,up for it
4918,ua,user agreement
4919,uaaaa,Universal Association Against Acronym Abuse
4920,uat,User Acceptance Testing
4921,uayor,Use At Your Own Risk
4922,ub3r,super
4923,uber,over
4924,uctaodnt,you can't teach an old dog new tricks
4925,udc,you don't care
4926,udcbm,You Don't Care About Me
4927,udek,you don't even know
4928,uds,you dumb s**t
4929,udwk,you don't want to know
4930,udy,you done yet
4931,ufab,ugly fat ass b***h
4932,ufia,unsolicited finger in the anus
4933,UFIC,Unsolicited Finger in Chili
4934,ufmf,you funny mother f**ker
4935,ufr,Upon further review
4936,ugba,you gay b***h ass
4937,ugtr,you got that right
4938,uhab,you have a blog
4939,uhems,you hardly ever make sense
4940,ui,User Interface
4941,ujds,u just did s**t
4942,ukr,You know right
4943,ukwim,you know what i mean
4944,ul,unlucky
4945,ulbom,you looked better on myspace
4946,umfriend,sexual partner
4947,un2bo,you need to back off
4948,un4rtun8ly,unfortunately
4949,unt,until next time
4950,uom,You owe me
4951,upcia,unsolicited pool cue in anus
4952,upia,unsolicited pencil in anus
4953,upmo,You piss me off
4954,upos,you piece of s**t
4955,upw,unidentified party wound
4956,ur,your
4957,ur2g,you are too good
4958,ur6c,you're sexy
4959,ura,you are a
4960,uradrk,you're a dork
4961,urafb,you are a f**king b***h
4962,uraqt,you are a cutie
4963,urcrzy,you are crazy
4964,ure,you are
4965,urg,you are gay
4966,urht,you're hot
4967,url,Uniform Resource Locator
4968,url8,you are late
4969,urms,you rock my socks
4970,urmw,you are my world
4971,urnc,you are not cool
4972,urng2bt,You are not going to believe this 
4973,urs,yours
4974,ursab,you are such a b***h
4975,ursdf,you are so damn fine
4976,Urself,Yourself
4977,ursg,you are so gay
4978,ursh,you are so hot
4979,urssb,you are so sexy baby
4980,urstpid,you are stupid
4981,urstu,you are stupid
4982,urtb,you are the best
4983,urtbitw,You are the best in the world!
4984,urtrd,you retard
4985,urtw,you are the worst
4986,urw,you are weird
4987,uryyfm,you are too wise for me
4988,usa,United States of America
4989,usck,you suck
4990,usd,United States Dollar
4991,ussr,The Union of Soviet Socialist Republics
4992,usuk,You Suck
4993,usux,you suck
4994,ut,unreal tournament
4995,ut,you there
4996,uta,up the ass
4997,utfs,Use the f**king search
4998,utfse,use the f**king search engine
4999,utm,you tell me
5000,uttm, you talking to me?
5001,utube,youtube
5002,utw,used to work
5003,uty,it's up to you
5004,uve,You've
5005,uvgtbsm,you have got to be shiting me
5006,uw,you're welcome
5007,uwc,you are welcome
5008,uya,up your ass
5009,uyab,up your ass b***h
5010,wuta,what you talking about
5011,v4g1n4,vagina
5012,vag,vagina
5013,vajayjay,vagina
5014,vb,visual basic
5015,vbeg,very big evil grin
5016,vbg,very big grin
5017,vf,very funny
5018,vfe,Virgins 4 ever
5019,vff,Verry f**king Funny
5020,vfm,value for money
5021,vgg,very good game
5022,vgh,Very good hand
5023,vgl,very good looking
5024,vgn,Video Game Nerd
5025,vid,Video
5026,vids,Videos
5027,vip,very important person
5028,vleo,Very Low Earth Orbit
5029,vlog,video log
5030,vn,very nice
5031,vnc,Virtual Network Computing
5032,vnh,Very nice hand
5033,voip,voice over ip
5034,vrsty,Varsity
5035,vry,very
5036,vs,versus
5037,vwd,very well done
5038,vweg,very wicked evil grin
5039,vzit,visit
5040,vzn,verizon
5041,swswta,so what should we talk about
5042,w'sup,what's up
5043,w.b.s.,Write Back Soon
5044,w.e,Whatever
5045,w.e.,whatever
5046,w.o.w,World of Warcraft
5047,w.o.w.,world of warcraft
5048,w/,with
5049,w/b,write back
5050,w/e,whatever
5051,w/end,weekend
5052,w/eva,whatever
5053,w/o,with out
5054,w/out,without
5055,w/u,with you
5056,w00t,woohoo
5057,w012d,word
5058,w2d,what to do
5059,w2f,want to f**k
5060,w2g,Way to go
5061,w2ho,want to hang out
5062,w2m,want to meet
5063,w33d,weed
5064,w8,wait
5065,w8am,wait a minute
5066,w8ing,waiting
5067,w8t4me,wait for me
5068,w8ter,waiter
5069,w911,Wife in room
5070,wab,what a b***h
5071,wad,without a doubt
5072,wad ^,what's up?
5073,wadr,with all due respect
5074,wadzup,What's up?
5075,waf,weird as f**k
5076,wafda,What a f**king Dumb Ass
5077,wafl,what a f**king loser
5078,wafm,wait a f**king minute
5079,wafn,what a f**ken noob
5080,wai,what an idiot
5081,waloc,what a load of crap
5082,walstib,what a long strange trip it's been
5083,wam,wait a minute
5084,wamh,with all my heart
5085,wan2tlk,Want to talk
5086,wana,want to
5087,wanafuk,wanna f**k
5088,wanker,masturbater
5089,wanking,Masturbating
5090,wanna,want to
5091,wansta,wanna be ganster
5092,wap,wet ass p***y
5093,warez,illegally obtained software
5094,wassup,what's up?
5095,wasup,What's Up
5096,was^,What's Up
5097,wat,what
5098,wat's^,Whats Up
5099,watcha,what are you
5100,watev,whatever
5101,wateva,whatever 
5102,watevr,whatever
5103,watevs,whatever
5104,watp,We Are The People
5105,wats,whats
5106,wats ^,whats up
5107,wats^,what's up?
5108,watz ^,What's up
5109,wau,what about you
5110,Waud,What are you doing 
5111,waug,Where are you going
5112,wauw,what are you wearing
5113,wau^2,what are you up to?
5114,waw,what a w***e
5115,waycb,when are you coming back
5116,wayd,what are you doing
5117,waydt,What are you doing tonight
5118,waygow,who are you going out with
5119,wayh,why are you here
5120,wayn,Where Are You Now
5121,waysttm,why are you still talking to me
5122,waysw,Why are you so weird
5123,wayt,What are you thinking?
5124,wayta,what are you talking about
5125,wayut,what are you up to
5126,waz,what is
5127,waz ^,what's up
5128,wazz,what's
5129,wazza,what's up
5130,wazzed,drunk
5131,wazzup,what's up
5132,waz^,what's up?
5133,wb,welcome back
5134,wbagnfarb,would be a good name for a rock band
5135,wbb,will be back
5136,wbbs,will be back soon
5137,wbk,Welcome Back
5138,wbp,Welcome Back Partner
5139,wbrb,Will be right back
5140,wbs,write back soon
5141,wbu,what about you
5142,wby,what about you
5143,wc,who cares
5144,wc3,Warcraft III
5145,wcb,welcome back
5146,wcm,Women Crush Monday
5147,wcutm,what can you tell me
5148,wcw,webcam w***e
5149,wd,well done
5150,wdf,Worth Dying For
5151,wdhlm,why doesnt he love me?
5152,wdidn,what do i do now
5153,wdim,What Did I miss
5154,wdk,We Don't Know
5155,wdtm,what does that mean
5156,wduc,what do you care
5157,wdug,where did you go
5158,wdum,what do you mean
5159,wdus,What Did You Say
5160,wdut,what do you think?
5161,wdutom,what do you think of me
5162,wduw,what do you want
5163,wduwta,what do you wanna talk about
5164,wduwtta,what do you want to talk about
5165,wdwdn,what do we do now
5166,wdwgw,where did we go wrong
5167,wdya,why do you ask
5168,wdydt,why do you do that
5169,wdye,What do you expect
5170,wdyl,who do you like
5171,wdym,what do you mean
5172,wdys,What did you say
5173,wdyt,what do you think
5174,wdytia,who do you think i am?
5175,wdyw,what do you want
5176,wdywd,what do you want to do?
